Downloaded from wid.world on 05-01-2020 at 19:06:30
Percentile;Year;"sptinc_992_j_FR
Pre-tax national income
P0-90 | share | adults | equal split
France";"sptinc_992_j_QB
Pre-tax national income
P0-90 | share | adults | equal split
Africa";"sptinc_992_j_XA
Pre-tax national income
P0-90 | share | adults | equal split
Asia (excl. Middle East)";"sptinc_992_j_QE
Pre-tax national income
P0-90 | share | adults | equal split
Europe";"sptinc_992_j_XL
Pre-tax national income
P0-90 | share | adults | equal split
Latin America";"sptinc_992_j_XM
Pre-tax national income
P0-90 | share | adults | equal split
Middle East";"sptinc_992_j_QF
Pre-tax national income
P0-90 | share | adults | equal split
Oceania";"sptinc_992_j_XR
Pre-tax national income
P0-90 | share | adults | equal split
Russia and Ukraine";"sptinc_992_j_WO
Pre-tax national income
P0-90 | share | adults | equal split
World";"sptinc_992_j_BR
Pre-tax national income
P0-90 | share | adults | equal split
Brazil";"sptinc_992_j_CN
Pre-tax national income
P0-90 | share | adults | equal split
China";"sptinc_992_j_DK
Pre-tax national income
P0-90 | share | adults | equal split
Denmark";"sptinc_992_j_EE
Pre-tax national income
P0-90 | share | adults | equal split
Estonia";"sptinc_992_j_FI
Pre-tax national income
P0-90 | share | adults | equal split
Finland";"sptinc_992_j_DE
Pre-tax national income
P0-90 | share | adults | equal split
Germany";"sptinc_992_j_GR
Pre-tax national income
P0-90 | share | adults | equal split
Greece";"sptinc_992_j_IS
Pre-tax national income
P0-90 | share | adults | equal split
Iceland";"sptinc_992_j_IE
Pre-tax national income
P0-90 | share | adults | equal split
Ireland";"sptinc_992_j_NL
Pre-tax national income
P0-90 | share | adults | equal split
Netherlands";"sptinc_992_j_NO
Pre-tax national income
P0-90 | share | adults | equal split
Norway";"sptinc_992_j_PL
Pre-tax national income
P0-90 | share | adults | equal split
Poland";"sptinc_992_j_RU
Pre-tax national income
P0-90 | share | adults | equal split
Russian Federation";"sptinc_992_j_ES
Pre-tax national income
P0-90 | share | adults | equal split
Spain";"sptinc_992_j_SE
Pre-tax national income
P0-90 | share | adults | equal split
Sweden";"sptinc_992_j_CH
Pre-tax national income
P0-90 | share | adults | equal split
Switzerland";"sptinc_992_j_TH
Pre-tax national income
P0-90 | share | adults | equal split
Thailand";"sptinc_992_j_GB
Pre-tax national income
P0-90 | share | adults | equal split
United Kingdom";"sptinc_992_j_US
Pre-tax national income
P0-90 | share | adults | equal split
USA"
p0p90;1900;0.49970001;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1902;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1903;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1904;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1905;;;;;;;;;;;;;;;;;;;;;;0.53119999;;;;;;
p0p90;1906;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1907;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1908;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1909;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1910;0.48320001;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1911;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1912;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p0p90;1913;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.57690001
p0p90;1914;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.57050002
p0p90;1915;0.51490003;;;;;;;;;;;;;;;;;;;;;;;;;;;0.57810003
p0p90;1916;0.49540001;;;;;;;;;;;;;;;;;;;;;;;;;;;0.55610001
p0p90;1917;0.49680001;;;;;;;;;;;;;;;;;;;;;;;;;;;0.551
p0p90;1918;0.52579999;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5636
p0p90;1919;0.5169;;;;;;;;;;;;;;;;;;;;;;;;;;;0.54570001
p0p90;1920;0.52689999;;;;;;;;;;;;;;;;;;;;;;;;;;;0.56559998
p0p90;1921;0.53820002;;;;;;;;;;;;;;;;;;;;;;;;;;;0.53469998
p0p90;1922;0.523;;;;;;;;;;;;;;;;;;;;;;;;;;;0.54460001
p0p90;1923;0.50470001;;;;;;;;;;;;;;;;;;;;;;;;;;;0.56900001
p0p90;1924;0.52209997;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5474
p0p90;1925;0.5291;;;;;;;;;;;;;;;;;;;;;;;;;;;0.52920002
p0p90;1926;0.54519999;;;;;;;;;;;;;;;;;;;;;;;;;;;0.52560002
p0p90;1927;0.53210002;;;;;;;;;;;;;;;;;;;;;;;;;;;0.53240001
p0p90;1928;0.53310001;;;;;;;;;;;;;;;;;;;;;0.77539998;;;;;;0.52039999
