Downloaded from wid.world on 22-02-2020 at 01:07:10
Percentile;Year;"shweal_992_j_CN
Net personal wealth
Top 10% | share | adults | equal split
China";"shweal_992_j_FR
Net personal wealth
Top 10% | share | adults | equal split
France";"shweal_992_j_IN
Net personal wealth
Top 10% | share | adults | equal split
India";"shweal_992_j_RU
Net personal wealth
Top 10% | share | adults | equal split
Russian Federation";"shweal_992_j_US
Net personal wealth
Top 10% | share | adults | equal split
USA";"shweal_z_GB
Net personal wealth
Top 10% | share
United Kingdom";"shweal_z_KR
Net personal wealth
Top 10% | share
Korea"
p90p100;1807;;0.79009998;;;;;
p90p100;1808;;;;;;;
p90p100;1809;;;;;;;
p90p100;1810;;;;;;;
p90p100;1811;;;;;;;
p90p100;1812;;;;;;;
p90p100;1813;;;;;;;
p90p100;1814;;;;;;;
p90p100;1815;;;;;;;
p90p100;1816;;;;;;;
p90p100;1817;;0.84799999;;;;;
p90p100;1818;;;;;;;
p90p100;1819;;;;;;;
p90p100;1820;;;;;;;
p90p100;1821;;;;;;;
p90p100;1822;;;;;;;
p90p100;1823;;;;;;;
p90p100;1824;;;;;;;
p90p100;1825;;;;;;;
p90p100;1826;;;;;;;
p90p100;1827;;0.82459998;;;;;
p90p100;1828;;;;;;;
p90p100;1829;;;;;;;
p90p100;1830;;;;;;;
p90p100;1831;;;;;;;
p90p100;1832;;;;;;;
p90p100;1833;;;;;;;
p90p100;1834;;;;;;;
p90p100;1835;;;;;;;
p90p100;1836;;;;;;;
p90p100;1837;;0.7992;;;;;
p90p100;1838;;;;;;;
p90p100;1839;;;;;;;
p90p100;1840;;;;;;;
p90p100;1841;;;;;;;
p90p100;1842;;;;;;;
p90p100;1843;;;;;;;
p90p100;1844;;;;;;;
p90p100;1845;;;;;;;
p90p100;1846;;;;;;;
p90p100;1847;;0.86729997;;;;;
p90p100;1848;;;;;;;
p90p100;1849;;;;;;;
p90p100;1850;;;;;;;
p90p100;1851;;;;;;;
p90p100;1852;;;;;;;
p90p100;1853;;;;;;;
p90p100;1854;;;;;;;
p90p100;1855;;;;;;;
p90p100;1856;;;;;;;
p90p100;1857;;0.83020002;;;;;
p90p100;1858;;;;;;;
p90p100;1859;;;;;;;
p90p100;1860;;;;;;;
p90p100;1861;;;;;;;
p90p100;1862;;;;;;;
p90p100;1863;;;;;;;
p90p100;1864;;;;;;;
p90p100;1865;;;;;;;
p90p100;1866;;;;;;;
p90p100;1867;;0.80940002;;;;;
p90p100;1868;;;;;;;
p90p100;1869;;;;;;;
p90p100;1870;;;;;;;
p90p100;1871;;;;;;;
p90p100;1872;;;;;;;
p90p100;1873;;;;;;;
p90p100;1874;;;;;;;
p90p100;1875;;;;;;;
p90p100;1876;;;;;;;
p90p100;1877;;0.82590002;;;;;
p90p100;1878;;;;;;;
p90p100;1879;;;;;;;
p90p100;1880;;;;;;;
p90p100;1881;;;;;;;
p90p100;1882;;;;;;;
p90p100;1883;;;;;;;
p90p100;1884;;;;;;;
p90p100;1885;;;;;;;
p90p100;1886;;;;;;;
p90p100;1887;;0.83279997;;;;;
p90p100;1888;;;;;;;
p90p100;1889;;;;;;;
p90p100;1890;;;;;;;
p90p100;1891;;;;;;;
p90p100;1892;;;;;;;
p90p100;1893;;;;;;;
p90p100;1894;;;;;;;
p90p100;1895;;;;;;0.9303;
p90p100;1896;;;;;;0.92900002;
p90p100;1897;;;;;;0.92790002;
p90p100;1898;;;;;;0.92629999;
p90p100;1899;;;;;;0.92589998;
p90p100;1900;;;;;;0.92659998;
p90p100;1901;;;;;;0.92940003;
